epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.78077,1.20033,3.15629,1.46445,0.98583,0.19284,0.53268,0.45675,0.78868,3.2592,1.08163,0.000362454,0.000362454,0.000362454
2,14.6793,0.75276,1.66868,1.05937,0.90273,0.77733,0.91167,0.75156,0.80412,2.13076,1.20359,0.000672332,0.000672332,0.000672332
3,51.7607,0.64143,1.82726,1.00403,0.90184,0.97486,0.97304,0.83633,0.63241,1.28379,0.99677,0.000921106,0.000921106,0.000921106
4,57.7857,0.54794,1.41269,0.94407,0.95796,0.97348,0.97647,0.86106,0.5552,0.81715,0.95521,0.000836027,0.000836027,0.000836027
5,63.7289,0.46429,1.16895,0.9051,0.99557,0.97669,0.98102,0.9178,0.44388,0.65083,0.9163,0.00074437,0.00074437,0.00074437
6,69.8724,0.43496,1.00367,0.88725,0.97904,0.98408,0.98188,0.91774,0.37086,0.55916,0.85957,0.000652712,0.000652712,0.000652712
7,75.9007,0.39816,0.86959,0.86007,0.99562,0.98088,0.99028,0.91323,0.38844,0.48965,0.87473,0.000561055,0.000561055,0.000561055
8,81.6862,0.35346,0.74215,0.83881,0.98852,0.98423,0.99051,0.94448,0.32661,0.45211,0.84837,0.000469397,0.000469397,0.000469397
9,87.5195,0.32603,0.67418,0.83192,0.99558,0.98553,0.99101,0.96425,0.29805,0.36955,0.84011,0.00037774,0.00037774,0.00037774
10,93.3134,0.28755,0.61859,0.81945,0.99784,0.98076,0.99101,0.96677,0.21705,0.37472,0.82388,0.000286083,0.000286083,0.000286083
11,99.0288,0.25127,0.56358,0.80639,0.99365,0.98369,0.99101,0.97989,0.2123,0.33603,0.81818,0.000194425,0.000194425,0.000194425
12,104.831,0.21617,0.52737,0.7897,0.99578,0.98434,0.99101,0.97315,0.17554,0.30872,0.8101,0.000102768,0.000102768,0.000102768
