Kategori1;Kategori2;Kategori3;Harga;HargaAtas; OmsetMinimum;JumlahTerjual;JumlahReview;JumlahRating;ValidOrder;KotaPengiriman;PenjualanSebelumnya;KenaikanPenjualan;PersentaseKenaikanPenjualan;ReviewSebelumnya;KenaikanReviewPenjualan;PersentaseKenaikanReview;;
Handphone & Aksesoris;Aksesoris;USB & Lampu Handphone;Rp. 1700;Rp. 1700; Rp49.811.700,00 ;29.301;7.191;4,74;24,54%;KAB. TANGERANG;27.141;216;7,96;6.932;259;3,74;;
Handphone & Aksesoris;Aksesoris;USB & Lampu Handphone;Rp. 1700;Rp. 1700; Rp9.948.400,00 ;5.852;331;4,83;5,66%;KOTA JAKARTA PUSAT;3.925;1.927;49,96;266;65;24,44;;
Handphone & Aksesoris;Aksesoris;USB & Lampu Handphone;Rp. 1650;Rp. 1650; Rp2.311.650,00 ;1.401;208;4,85;14,85%;KOTA JAKARTA UTARA;;;;;;0,00;;
Handphone & Aksesoris;Aksesoris;USB & Lampu Handphone;Rp. 1649;Rp. 1649; Rp20.884.585,00 ;12.665;562;4,78;4,44%;KOTA JAKARTA PUSAT;129;2.456;24,57;49;72;14,69;;
Handphone & Aksesoris;Aksesoris;USB & Lampu Handphone;Rp. 1599;Rp. 1599; Rp5.163.171,00 ;3.229;255;4,80;7,90%;KOTA JAKARTA PUSAT;235;1.194;58,67;123;132;107,32;;
Handphone & Aksesoris;Aksesoris;USB & Lampu Handphone;Rp. 1650;Rp. 1650; Rp38.242.050,00 ;23.177;2.603;4,69;11,23%;KOTA JAKARTA PUSAT;21.331;1.846;8,65;2.429;174;7,16;;
Handphone & Aksesoris;Aksesoris;Kartu Memori;Rp. 32900;Rp. 95000; Rp988.612.100,00 ;30.049;13.180;4,47;43,86%;KOTA JAKARTA UTARA;22.633;7.416;32,77;9.856;3.324;33,73;;
Handphone & Aksesoris;Aksesoris;Kartu Memori;Rp. 99500;Rp. 99500; Rp498.793.500,00 ;5.013;14;5,00;0,28%;KAB. TANGERANG;3.146;1.867;59,35;14;;0,00;;
Handphone & Aksesoris;Aksesoris;Kartu Memori;Rp. 62000;Rp. 105000; Rp244.156.000,00 ;3.938;1.508;4,77;38,29%;KOTA JAKARTA PUSAT;;;;;;0,00;;
Handphone & Aksesoris;Aksesoris;Kartu Memori;Rp. 10121;Rp. 67896; Rp16.689.529,00 ;1.649;927;4,62;56,22%;Luar Negeri;425;1.224;288,00;234;693;296,15;;
Handphone & Aksesoris;Aksesoris;Kartu Memori;Rp. 35800;Rp. 105000; Rp124.727.200,00 ;3.484;1.532;4,51;43,97%;KAB. TANGERANG;25;984;39,36;1.139;393;34,50;;
Handphone & Aksesoris;Aksesoris;Kartu Memori;Rp. 38000;Rp. 38000; Rp713.830.000,00 ;18.785;5.160;4,84;27,47%;KOTA JAKARTA UTARA;;;;;;0,00;;
Handphone & Aksesoris;Aksesoris;Kartu Memori;Rp. 31250;Rp. 44500; Rp236.187.500,00 ;7.558;497;4,92;6,58%;KAB. TULUNGAGUNG;6.595;963;14,62;43;67;15,58;;
Sepatu Pria;Aksesoris & Perawatan Sepatu;Tali Sepatu;Rp. 1800;Rp. 1800; Rp43.331.400,00 ;24.073;4.246;4,78;17,64%;KAB. TANGERANG;2.112;361;14,57;395;341;8,73;;
Sepatu Pria;Aksesoris & Perawatan Sepatu;Shoe Tree & Horns;Rp. 1999;Rp. 1999; Rp66.512.727,00 ;33.273;7.322;4,80;22,01%;KOTA TANGERANG;3.182;2.191;7,50;6.859;463;6,75;;
Sepatu Pria;Aksesoris & Perawatan Sepatu;Alat Perawatan & Pembersih Sepatu;Rp. 6250;Rp. 6250; Rp159.056.250,00 ;25.449;9.179;4,57;36,07%;KOTA JAKARTA BARAT;2.272;2.747;12,13;8.255;924;11,19;;
